username,question,correct_answer,user_answer,is_correct,timestamp
Tuấn,What is the name of Vietnam's highest mountain?,A,A,True,2025-07-13T12:51:41.731054
Tuấn,What is the name of the largest island in Vietnam?,A,C,False,2025-07-13T12:51:45.504181
Tuấn,Which country colonized Vietnam before its independence?,A,B,False,2025-07-13T12:51:48.677140
Tuấn,"Which city is known as the ""City of Eternal Spring"" in Vietnam?",A,B,False,2025-07-13T12:51:50.196350
Tuấn,What is Vietnam's national flower?,A,C,False,2025-07-13T12:51:51.525631
Tuấn,Which Vietnamese general led the victory at Dien Bien Phu?,A,A,True,2025-07-13T12:51:53.277217
Tuấn,"Which region is famous for ""cai luong"" (a type of folk opera)?",A,B,False,2025-07-13T12:51:54.686228
Tuấn,Which of the following is a popular Vietnamese coffee type?,A,C,False,2025-07-13T12:51:55.791257
Tuấn,Who wrote Vietnam's Declaration of Independence in 1945?,A,C,False,2025-07-13T12:51:59.797197
Tuấn,Which country shares the longest border with Vietnam?,A,A,True,2025-07-13T12:52:01.586449
