Question Name,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
Capital of Viet Nam, HN, HCM, DN, HP, 1
What is the capital of France?,Berlin,Madrid,Paris,Rome,3
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,2
What is the largest mammal?,Elephant,Blue Whale,Shark,Hippopotamus,2
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,2
What gas do plants absorb from the atmosphere?,Oxygen,Hydrogen,Carbon Dioxide,Nitrogen,3
How many continents are there?,5,6,7,8,3
Which is the smallest prime number?,1,2,3,5,2
Which ocean is the largest?,Atlantic,Pacific,Indian,Arctic,2
What is H2O?,Oxygen,Hydrogen,Water,Helium,3
How many legs does a spider have?,6,8,10,12,2
Who painted the Mona Lisa?,Van Gogh,Picasso,Da Vinci,Michelangelo,3
What is the boiling point of water in Celsius?,90,95,100,105,3
What is the hardest natural substance?,Gold,Iron,Diamond,Quartz,3
Which planet has rings?,Earth,Mars,Saturn,Venus,3
Which country is famous for sushi?,China,Korea,Japan,Thailand,3
